"Pair.Name","Ligand.ApprovedSymbol","Ligand.Name","Receptor.ApprovedSymbol","Receptor.Name","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","HPMR.Ligand","HPMR.Receptor","PMID.Manual","Pair.Source","Pair.Evidence"
"HLA-G_Cd4","HLA-G","major histocompatibility complex, class I, G","Cd4","CD4 molecule","","","","","STRING.binding","","HLA-G","","","novel","putative"
"HLA-G_Kir3dl1","HLA-G","major histocompatibility complex, class I, G","Kir3dl1","killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4","","HPMR","","HPRD","","","HLA-G","KIR2DL4","","known","literature supported"
"HLA-G_Clec2m","HLA-G","major histocompatibility complex, class I, G","Clec2m","killer cell lectin-like receptor subfamily C, member 1","","HPMR","","","","","HLA-G","KLRC1","","known","literature supported"
"HLA-G_Klrd1","HLA-G","major histocompatibility complex, class I, G","Klrd1","killer cell lectin-like receptor subfamily D, member 1","","HPMR","","HPRD","","","HLA-G","KLRD1","","known","literature supported"
"HLA-G_LILRB1","HLA-G","major histocompatibility complex, class I, G","LILRB1","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1","","HPMR","","HPRD","STRING.binding","STRING.experiment","HLA-G","LILRB1","","known","literature supported"
"HLA-G_LILRB2","HLA-G","major histocompatibility complex, class I, G","LILRB2","leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2","","","","HPRD","STRING.binding","STRING.experiment","HLA-G","LILRB2","","novel","literature supported"
"HMGB1_Sdc1","HMGB1","high mobility group box 1","Sdc1","syndecan 1","","","","","","","","","1369684","novel","literature supported"
"HMGB1_Thbd","HMGB1","high mobility group box 1","Thbd","thrombomodulin","","","","","","","","","15841214","novel","literature supported"
"Hp_Asgr1","Hp","haptoglobin","Asgr1","asialoglycoprotein receptor 1","","","","","STRING.binding","","","ASGR1","","novel","putative"
"Hp_Asgr2","Hp","haptoglobin","Asgr2","asialoglycoprotein receptor 2","","","","","STRING.binding","","","ASGR2","","novel","putative"
"Hp_Gm49368","Hp","haptoglobin","Gm49368","integrin, alpha M (complement component 3 receptor 3 subunit)","","","","HPRD","","","","ITGAM","","novel","literature supported"
"Hp_Itgb2l","Hp","haptoglobin","Itgb2l","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","","","","HPRD","","","","ITGB2","","novel","literature supported"
"Hras_Agtr1b","Hras","Harvey rat sarcoma viral oncogene homolog","Agtr1b","angiotensin II receptor, type 1","","","","HPRD","","","HRAS","AGTR1","","novel","literature supported"
"Hras_Cav1","Hras","Harvey rat sarcoma viral oncogene homolog","Cav1","caveolin 1, caveolae protein, 22kDa","","","","HPRD","STRING.binding","","HRAS","","","novel","literature supported"
"Hras_Grin2d","Hras","Harvey rat sarcoma viral oncogene homolog","Grin2d","glutamate receptor, ionotropic, N-methyl D-aspartate 2D","","","","HPRD","","","HRAS","","","novel","literature supported"
"Hras_Insr","Hras","Harvey rat sarcoma viral oncogene homolog","Insr","insulin receptor","","","","HPRD","","","HRAS","INSR","","novel","literature supported"
"Hras_Sdc2","Hras","Harvey rat sarcoma viral oncogene homolog","Sdc2","syndecan 2","","","","","STRING.binding","","HRAS","SDC2","","novel","putative"
"Hras_Tlr2","Hras","Harvey rat sarcoma viral oncogene homolog","Tlr2","toll-like receptor 2","","","","HPRD","","","HRAS","TLR2","","novel","literature supported"
"Hras_Tlr9","Hras","Harvey rat sarcoma viral oncogene homolog","Tlr9","toll-like receptor 9","","","","HPRD","","","HRAS","TLR9","","novel","literature supported"
"Hrg_Fcgr1","Hrg","histidine-rich glycoprotein","Fcgr1","Fc fragment of IgG, high affinity Ia, receptor (CD64)","","","","HPRD","","","","","","novel","literature supported"
"HSP90AA1_Cftr","HSP90AA1","heat shock protein 90kDa alpha (cytosolic), class A member 1","Cftr","cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)","","","","","","","","","9843494","novel","literature supported"
"HSP90AA1_Egfr","HSP90AA1","heat shock protein 90kDa alpha (cytosolic), class A member 1","Egfr","epidermal growth factor receptor","","","","","","","","","18199556","novel","literature supported"
"HSP90AA1_Fgfr3","HSP90AA1","heat shock protein 90kDa alpha (cytosolic), class A member 1","Fgfr3","fibroblast growth factor receptor 3","","","","","","","","","21487019","novel","literature supported"
"Hsp90b1_Asgr1","Hsp90b1","heat shock protein 90kDa beta (Grp94), member 1","Asgr1","asialoglycoprotein receptor 1","","","","HPRD","","","HSP90B1","ASGR1","","novel","EXCLUDED not ligand"
"Hsp90b1_Erbb2","Hsp90b1","heat shock protein 90kDa beta (Grp94), member 1","Erbb2","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2","","","","HPRD","","","HSP90B1","ERBB2","","novel","EXCLUDED not ligand"
"Hsp90b1_Lrp1","Hsp90b1","heat shock protein 90kDa beta (Grp94), member 1","Lrp1","low density lipoprotein receptor-related protein 1","","HPMR","","HPRD","STRING.binding","","HSP90B1","LRP1","","known","EXCLUDED not ligand"
"Hsp90b1_Tlr1","Hsp90b1","heat shock protein 90kDa beta (Grp94), member 1","Tlr1","toll-like receptor 1","","","","HPRD","","","HSP90B1","TLR1","","novel","EXCLUDED not ligand"
"Hsp90b1_Tlr2","Hsp90b1","heat shock protein 90kDa beta (Grp94), member 1","Tlr2","toll-like receptor 2","","","","HPRD","","","HSP90B1","TLR2","","novel","EXCLUDED not ligand"
"Hsp90b1_Tlr4","Hsp90b1","heat shock protein 90kDa beta (Grp94), member 1","Tlr4","toll-like receptor 4","","","","HPRD","","","HSP90B1","TLR4","","novel","EXCLUDED not ligand"
"Hsp90b1_Tlr7","Hsp90b1","heat shock protein 90kDa beta (Grp94), member 1","Tlr7","toll-like receptor 7","","","","","STRING.binding","","HSP90B1","TLR7","","novel","EXCLUDED not ligand"
"Hsp90b1_Tlr9","Hsp90b1","heat shock protein 90kDa beta (Grp94), member 1","Tlr9","toll-like receptor 9","","","","","STRING.binding","","HSP90B1","TLR9","","novel","EXCLUDED not ligand"
"Hspa1b_Grin2d","Hspa1b","heat shock 70kDa protein 1A","Grin2d","glutamate receptor, ionotropic, N-methyl D-aspartate 2D","","","","HPRD","","","HSPA1A","","","novel","EXCLUDED not ligand"
"Hspa1b_Tlr4","Hspa1b","heat shock 70kDa protein 1A","Tlr4","toll-like receptor 4","","","","","STRING.binding","","HSPA1A","TLR4","22528050","novel","EXCLUDED not ligand"
"Hspg2_Chrm3","Hspg2","heparan sulfate proteoglycan 2","Chrm3","cholinergic receptor, muscarinic 3","","","","","STRING.binding","","HSPG2","CHRM3","","novel","putative"
"Hspg2_Col13a1","Hspg2","heparan sulfate proteoglycan 2","Col13a1","collagen, type XIII, alpha 1","","","","HPRD","","","HSPG2","","","novel","literature supported"
"Hspg2_Itga2","Hspg2","heparan sulfate proteoglycan 2","Itga2","integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)","","","","HPRD","","","HSPG2","ITGA2","","novel","literature supported"
"Hspg2_Itgb1","Hspg2","heparan sulfate proteoglycan 2","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","","","HPRD","","","HSPG2","ITGB1","","novel","literature supported"
"Hspg2_Ptprs","Hspg2","heparan sulfate proteoglycan 2","Ptprs","protein tyrosine phosphatase, receptor type, S","","HPMR","","","","","HSPG2","PTPRS","","known","literature supported"
"Hspg2_Sdc1","Hspg2","heparan sulfate proteoglycan 2","Sdc1","syndecan 1","","","","","STRING.binding","","HSPG2","SDC1","","novel","putative"
"Iapp_Calcr","Iapp","islet amyloid polypeptide","Calcr","calcitonin receptor","","HPMR","IUPHAR","","","","IAPP","CALCR","","known","literature supported"
"Iapp_Ramp1","Iapp","islet amyloid polypeptide","Ramp1","receptor (G protein-coupled) activity modifying protein 1","","","","HPRD","","","IAPP","RAMP1","","novel","literature supported"
"Iapp_Ramp2","Iapp","islet amyloid polypeptide","Ramp2","receptor (G protein-coupled) activity modifying protein 2","","","","HPRD","","","IAPP","RAMP2","","novel","literature supported"
"Iapp_Ramp3","Iapp","islet amyloid polypeptide","Ramp3","receptor (G protein-coupled) activity modifying protein 3","","","","","STRING.binding","","IAPP","RAMP3","","novel","putative"
"Ibsp_Itgav","Ibsp","integrin-binding sialoprotein","Itgav","integrin, alpha V","","","","","STRING.binding","","","ITGAV","","novel","putative"
"Icam1_Cav1","Icam1","intercellular adhesion molecule 1","Cav1","caveolin 1, caveolae protein, 22kDa","","","","","STRING.binding","","ICAM1","","","novel","putative"
"Icam1_Egfr","Icam1","intercellular adhesion molecule 1","Egfr","epidermal growth factor receptor","","","","HPRD","","","ICAM1","EGFR","","novel","literature supported"
"Icam1_Il2ra","Icam1","intercellular adhesion molecule 1","Il2ra","interleukin 2 receptor, alpha","","","","HPRD","","","ICAM1","IL2RA","","novel","literature supported"
"Icam1_Il2rg","Icam1","intercellular adhesion molecule 1","Il2rg","interleukin 2 receptor, gamma","","","","HPRD","","","ICAM1","IL2RG","","novel","literature supported"
"Icam1_Itgal","Icam1","intercellular adhesion molecule 1","Itgal","integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)","","HPMR","","","STRING.binding","STRING.experiment","ICAM1","ITGAL","","known","literature supported"
"Icam1_Gm49368","Icam1","intercellular adhesion molecule 1","Gm49368","integrin, alpha M (complement component 3 receptor 3 subunit)","","","","HPRD","STRING.binding","STRING.experiment","ICAM1","ITGAM","","novel","literature supported"
"Icam1_Itgax","Icam1","intercellular adhesion molecule 1","Itgax","integrin, alpha X (complement component 3 receptor 4 subunit)","","HPMR","","","STRING.binding","","ICAM1","ITGAX","","known","literature supported"
"Icam1_Itgb2l","Icam1","intercellular adhesion molecule 1","Itgb2l","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","","HPMR","","HPRD","STRING.binding","STRING.experiment","ICAM1","ITGB2","","known","literature supported"
"Icam2_Itgal","Icam2","intercellular adhesion molecule 2","Itgal","integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)","","HPMR","","","","","ICAM2","ITGAL","","known","literature supported"
"Icam2_Gm49368","Icam2","intercellular adhesion molecule 2","Gm49368","integrin, alpha M (complement component 3 receptor 3 subunit)","","","","HPRD","","","ICAM2","ITGAM","","novel","literature supported"
"Icam2_Itgb2l","Icam2","intercellular adhesion molecule 2","Itgb2l","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","","HPMR","","HPRD","","","ICAM2","ITGB2","","known","literature supported"
"ICAM3_CLEC4M","ICAM3","intercellular adhesion molecule 3","CLEC4M","C-type lectin domain family 4, member M","","","","HPRD","STRING.binding","","ICAM3","CLEC4M","","novel","literature supported"
"ICAM3_Itgad","ICAM3","intercellular adhesion molecule 3","Itgad","integrin, alpha D","","","","HPRD","","","ICAM3","ITGAD","","novel","literature supported"
"ICAM3_Itgal","ICAM3","intercellular adhesion molecule 3","Itgal","integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)","","HPMR","","HPRD","STRING.binding","STRING.experiment","ICAM3","ITGAL","","known","literature supported"
"ICAM3_Itgb2l","ICAM3","intercellular adhesion molecule 3","Itgb2l","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","","HPMR","","HPRD","STRING.binding","","ICAM3","ITGB2","","known","literature supported"
"Icam4_Itga2b","Icam4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","Itga2b","integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)","","HPMR","","","","","ICAM4","ITGA2B","","known","literature supported"
"Icam4_Itga4","Icam4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","Itga4","integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)","","","","HPRD","","","ICAM4","ITGA4","","novel","literature supported"
"Icam4_Itgal","Icam4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","Itgal","integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)","","HPMR","","","STRING.binding","","ICAM4","ITGAL","","known","literature supported"
"Icam4_Gm49368","Icam4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","Gm49368","integrin, alpha M (complement component 3 receptor 3 subunit)","","HPMR","","HPRD","STRING.binding","","ICAM4","ITGAM","","known","literature supported"
"Icam4_Itgav","Icam4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","Itgav","integrin, alpha V","","HPMR","","HPRD","","","ICAM4","ITGAV","","known","literature supported"
"Icam4_Itgb1","Icam4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)","","","","HPRD","","","ICAM4","ITGB1","","novel","literature supported"
"Icam4_Itgb2l","Icam4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","Itgb2l","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","","HPMR","","HPRD","STRING.binding","","ICAM4","ITGB2","","known","literature supported"
"Icam4_Itgb3","Icam4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","Itgb3","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)","","HPMR","","","","","ICAM4","ITGB3","","known","literature supported"
"Icam4_Rhag","Icam4","intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)","Rhag","Rh-associated glycoprotein","","","","HPRD","","","ICAM4","","","novel","literature supported"
"Icam5_Itgal","Icam5","intercellular adhesion molecule 5, telencephalin","Itgal","integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)","","HPMR","","HPRD","STRING.binding","STRING.experiment","ICAM5","ITGAL","","known","literature supported"
"Icam5_Itgb2l","Icam5","intercellular adhesion molecule 5, telencephalin","Itgb2l","integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)","","HPMR","","HPRD","","","ICAM5","ITGB2","","known","literature supported"
"Ifna9_Ifnar1","Ifna9","interferon, alpha 10","Ifnar1","interferon (alpha, beta and omega) receptor 1","DLRP","","","","","","","IFNAR1","21856167","known","literature supported"
"Ifna9_Ifnar2","Ifna9","interferon, alpha 10","Ifnar2","interferon (alpha, beta and omega) receptor 2","DLRP","","","","","","","IFNAR2","21856167","known","literature supported"
"Ifna9_Ifnar1","Ifna9","interferon, alpha 13","Ifnar1","interferon (alpha, beta and omega) receptor 1","DLRP","","","","","","","IFNAR1","21856167","known","literature supported"
"Ifna9_Ifnar2","Ifna9","interferon, alpha 13","Ifnar2","interferon (alpha, beta and omega) receptor 2","DLRP","","","","","","","IFNAR2","21856167","known","literature supported"
"Ifna9_Ifnar1","Ifna9","interferon, alpha 14","Ifnar1","interferon (alpha, beta and omega) receptor 1","DLRP","","","","STRING.binding","","","IFNAR1","21856167","known","literature supported"
"Ifna9_Ifnar2","Ifna9","interferon, alpha 14","Ifnar2","interferon (alpha, beta and omega) receptor 2","DLRP","","","","STRING.binding","","","IFNAR2","21856167","known","literature supported"
"Ifna9_Ifnar1","Ifna9","interferon, alpha 16","Ifnar1","interferon (alpha, beta and omega) receptor 1","DLRP","","","","STRING.binding","","","IFNAR1","21856167","known","literature supported"
"Ifna9_Ifnar2","Ifna9","interferon, alpha 16","Ifnar2","interferon (alpha, beta and omega) receptor 2","DLRP","","","","STRING.binding","","","IFNAR2","21856167","known","literature supported"
"Ifna9_Ifnar1","Ifna9","interferon, alpha 17","Ifnar1","interferon (alpha, beta and omega) receptor 1","DLRP","","","","","","","IFNAR1","21856167","known","literature supported"
"Ifna9_Ifnar2","Ifna9","interferon, alpha 17","Ifnar2","interferon (alpha, beta and omega) receptor 2","DLRP","","","","","","","IFNAR2","21856167","known","literature supported"
"Ifna9_Ifnar1","Ifna9","interferon, alpha 1","Ifnar1","interferon (alpha, beta and omega) receptor 1","DLRP","HPMR","","HPRD","","","IFNA1","IFNAR1","","known","literature supported"
"Ifna9_Ifnar2","Ifna9","interferon, alpha 1","Ifnar2","interferon (alpha, beta and omega) receptor 2","DLRP","HPMR","","","","","IFNA1","IFNAR2","","known","literature supported"
"Ifna9_Ifnar1","Ifna9","interferon, alpha 21","Ifnar1","interferon (alpha, beta and omega) receptor 1","DLRP","","","","","","","IFNAR1","21856167","known","literature supported"
"Ifna9_Ifnar2","Ifna9","interferon, alpha 21","Ifnar2","interferon (alpha, beta and omega) receptor 2","DLRP","","","","","","","IFNAR2","21856167","known","literature supported"
"Ifna9_Ifnar1","Ifna9","interferon, alpha 2","Ifnar1","interferon (alpha, beta and omega) receptor 1","DLRP","","","HPRD","STRING.binding","STRING.experiment","","IFNAR1","","known","literature supported"
"Ifna9_Ifnar2","Ifna9","interferon, alpha 2","Ifnar2","interferon (alpha, beta and omega) receptor 2","DLRP","","","HPRD","STRING.binding","STRING.experiment","","IFNAR2","","known","literature supported"
"Ifna9_Ifnar1","Ifna9","interferon, alpha 4","Ifnar1","interferon (alpha, beta and omega) receptor 1","DLRP","","","","","","","IFNAR1","21856167","known","literature supported"
"Ifna9_Ifnar2","Ifna9","interferon, alpha 4","Ifnar2","interferon (alpha, beta and omega) receptor 2","DLRP","","","","","","","IFNAR2","21856167","known","literature supported"
"Ifna9_Ifnar1","Ifna9","interferon, alpha 5","Ifnar1","interferon (alpha, beta and omega) receptor 1","DLRP","","","","","","","IFNAR1","21856167","known","literature supported"
"Ifna9_Ifnar2","Ifna9","interferon, alpha 5","Ifnar2","interferon (alpha, beta and omega) receptor 2","DLRP","","","HPRD","","","","IFNAR2","","known","literature supported"
"Ifna9_Ifnar1","Ifna9","interferon, alpha 6","Ifnar1","interferon (alpha, beta and omega) receptor 1","DLRP","","","","STRING.binding","","","IFNAR1","21856167","known","literature supported"
"Ifna9_Ifnar2","Ifna9","interferon, alpha 6","Ifnar2","interferon (alpha, beta and omega) receptor 2","DLRP","","","","STRING.binding","","","IFNAR2","21856167","known","literature supported"
"Ifna9_Ifnar1","Ifna9","interferon, alpha 7","Ifnar1","interferon (alpha, beta and omega) receptor 1","DLRP","","","","","","","IFNAR1","21856167","known","literature supported"
"Ifna9_Ifnar2","Ifna9","interferon, alpha 7","Ifnar2","interferon (alpha, beta and omega) receptor 2","DLRP","","","","","","","IFNAR2","21856167","known","literature supported"
"Ifna9_Ifnar1","Ifna9","interferon, alpha 8","Ifnar1","interferon (alpha, beta and omega) receptor 1","DLRP","","","","STRING.binding","","","IFNAR1","21856167","known","literature supported"
"Ifna9_Ifnar2","Ifna9","interferon, alpha 8","Ifnar2","interferon (alpha, beta and omega) receptor 2","DLRP","","","HPRD","STRING.binding","STRING.experiment","","IFNAR2","","known","literature supported"
"Ifnb1_Ifnar1","Ifnb1","interferon, beta 1, fibroblast","Ifnar1","interferon (alpha, beta and omega) receptor 1","DLRP","HPMR","","HPRD","STRING.binding","STRING.experiment","IFNB1","IFNAR1","","known","literature supported"
"Ifnb1_Ifnar2","Ifnb1","interferon, beta 1, fibroblast","Ifnar2","interferon (alpha, beta and omega) receptor 2","DLRP","HPMR","","HPRD","","","IFNB1","IFNAR2","","known","literature supported"
"Ifng_Ifngr1","Ifng","interferon, gamma","Ifngr1","interferon gamma receptor 1","DLRP","HPMR","","HPRD","STRING.binding","STRING.experiment","IFNG","IFNGR1","","known","literature supported"
"Ifng_Ifngr2","Ifng","interferon, gamma","Ifngr2","interferon gamma receptor 2 (interferon gamma transducer 1)","DLRP","HPMR","","HPRD","STRING.binding","","IFNG","IFNGR2","","known","literature supported"
"IFNL1_Ifnlr1","IFNL1","interferon, lambda 1","Ifnlr1","interferon, lambda receptor 1","","HPMR","","HPRD","STRING.binding","STRING.experiment","IL29","IL28RA","","known","literature supported"
"IFNL1_Il10rb","IFNL1","interferon, lambda 1","Il10rb","interleukin 10 receptor, beta","","HPMR","","","STRING.binding","","IL29","IL10RB","","known","literature supported"
"Ifnl3_Ifnlr1","Ifnl3","interferon, lambda 2","Ifnlr1","interferon, lambda receptor 1","","HPMR","","HPRD","","","IL28A","IL28RA","","known","literature supported"
"Ifnl3_Il10rb","Ifnl3","interferon, lambda 2","Il10rb","interleukin 10 receptor, beta","","HPMR","","HPRD","","","IL28A","IL10RB","","known","literature supported"
"Ifnl3_Ifnlr1","Ifnl3","interferon, lambda 3","Ifnlr1","interferon, lambda receptor 1","","HPMR","","","","","IL28B","IL28RA","","known","literature supported"
"Ifnl3_Il10rb","Ifnl3","interferon, lambda 3","Il10rb","interleukin 10 receptor, beta","","HPMR","","HPRD","","","IL28B","IL10RB","","known","literature supported"
"IFNW1_Ifnar1","IFNW1","interferon, omega 1","Ifnar1","interferon (alpha, beta and omega) receptor 1","DLRP","HPMR","","HPRD","STRING.binding","STRING.experiment","IFNW1","IFNAR1","","known","literature supported"
"IFNW1_Ifnar2","IFNW1","interferon, omega 1","Ifnar2","interferon (alpha, beta and omega) receptor 2","DLRP","HPMR","","","STRING.binding","STRING.experiment","IFNW1","IFNAR2","","known","literature supported"
"Igf1_Igf1r","Igf1","insulin-like growth factor 1 (somatomedin C)","Igf1r","insulin-like growth factor 1 receptor","DLRP","HPMR","IUPHAR","HPRD","STRING.binding","STRING.experiment","IGF1","IGF1R","","known","literature supported"
"Igf1_Insr","Igf1","insulin-like growth factor 1 (somatomedin C)","Insr","insulin receptor","","","","","STRING.binding","","IGF1","INSR","","novel","putative"
"Igf2_Igf1r","Igf2","insulin-like growth factor 2 (somatomedin A)","Igf1r","insulin-like growth factor 1 receptor","","","IUPHAR","HPRD","","","IGF2","IGF1R","","known","literature supported"
"Igf2_Igf2r","Igf2","insulin-like growth factor 2 (somatomedin A)","Igf2r","insulin-like growth factor 2 receptor","DLRP","HPMR","","HPRD","","","IGF2","IGF2R","","known","literature supported"
"Igf2_Insr","Igf2","insulin-like growth factor 2 (somatomedin A)","Insr","insulin receptor","","HPMR","","HPRD","","","IGF2","INSR","","known","literature supported"
"Igfbp4_Fzd8","Igfbp4","insulin-like growth factor binding protein 4","Fzd8","frizzled class receptor 8","","","","","STRING.binding","","","FZD8","18528331","novel","literature supported"
"Igfbp4_Lrp6","Igfbp4","insulin-like growth factor binding protein 4","Lrp6","low density lipoprotein receptor-related protein 6","","","","","STRING.binding","","","LRP6","18528331","novel","literature supported"
"IGFL1_Igflr1","IGFL1","IGF-like family member 1","Igflr1","IGF-like family receptor 1","","","","","","","","","21454693","novel","literature supported"
"IGFL2_Igflr1","IGFL2","IGF-like family member 2","Igflr1","IGF-like family receptor 1","","","","","","","","","21454693","novel","literature supported"
"IGFL3_Igflr1","IGFL3","IGF-like family member 3","Igflr1","IGF-like family receptor 1","","","","","","","","","21454693","novel","literature supported"
"Ihh_Boc","Ihh","indian hedgehog","Boc","BOC cell adhesion associated, oncogene regulated","","","","","STRING.binding","STRING.experiment","IHH","BOC","20519495","novel","literature supported"
"Ihh_Cdon","Ihh","indian hedgehog","Cdon","cell adhesion associated, oncogene regulated","","","","","STRING.binding","STRING.experiment","IHH","CDON","20519495","novel","literature supported"
"Ihh_Hhip","Ihh","indian hedgehog","Hhip","hedgehog interacting protein","","HPMR","","HPRD","STRING.binding","","IHH","HHIP","","known","literature supported"
"Ihh_Ptch1","Ihh","indian hedgehog","Ptch1","patched 1","","HPMR","","HPRD","STRING.binding","","IHH","PTCH","","known","literature supported"
"Ihh_Ptch2","Ihh","indian hedgehog","Ptch2","patched 2","","","","HPRD","STRING.binding","","IHH","PTCH2","","novel","literature supported"
"Il10_Il10ra","Il10","interleukin 10","Il10ra","interleukin 10 receptor, alpha","DLRP","HPMR","","HPRD","STRING.binding","STRING.experiment","IL10","IL10RA","","known","literature supported"
"Il10_Il10rb","Il10","interleukin 10","Il10rb","interleukin 10 receptor, beta","DLRP","HPMR","","HPRD","","STRING.experiment","IL10","IL10RB","","known","literature supported"
"Il10_Gm9733","Il10","interleukin 10","Gm9733","signal-regulatory protein gamma","","","","","STRING.binding","STRING.experiment","IL10","","","novel","putative"
"Il11_Il11ra2","Il11","interleukin 11","Il11ra2","interleukin 11 receptor, alpha","DLRP","HPMR","","HPRD","","STRING.experiment","IL11","IL11RA","","known","literature supported"
"Il11_Il6st","Il11","interleukin 11","Il6st","interleukin 6 signal transducer (gp130, oncostatin M receptor)","DLRP","HPMR","","","","","IL11","IL6ST","","known","literature supported"
"Il12a_Cd28","Il12a","interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)","Cd28","CD28 molecule","","","","HPRD","","","IL12A","","","novel","literature supported"
"Il12a_Il12rb1","Il12a","interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)","Il12rb1","interleukin 12 receptor, beta 1","DLRP","HPMR","","","STRING.binding","STRING.experiment","IL12A","IL12RB1","","known","literature supported"
"Il12a_Il12rb2","Il12a","interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)","Il12rb2","interleukin 12 receptor, beta 2","DLRP","","","","STRING.binding","","IL12A","IL12RB2","943050","known","literature supported"
"Il12b_Il12rb1","Il12b","interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)","Il12rb1","interleukin 12 receptor, beta 1","DLRP","","","HPRD","STRING.binding","STRING.experiment","IL12B","IL12RB1","","known","literature supported"
"Il12b_Il12rb2","Il12b","interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)","Il12rb2","interleukin 12 receptor, beta 2","DLRP","HPMR","","HPRD","STRING.binding","","IL12B","IL12RB2","","known","literature supported"
"Il12b_Il23r","Il12b","interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)","Il23r","interleukin 23 receptor","","","","","STRING.binding","","IL12B","IL23R","17587057","novel","literature supported"
"Il13_Il13ra1","Il13","interleukin 13","Il13ra1","interleukin 13 receptor, alpha 1","DLRP","HPMR","","HPRD","STRING.binding","STRING.experiment","IL13","IL13RA1","","known","literature supported"
"Il13_Il13ra2","Il13","interleukin 13","Il13ra2","interleukin 13 receptor, alpha 2","DLRP","HPMR","","HPRD","STRING.binding","STRING.experiment","IL13","IL13RA2","","known","literature supported"
"Il13_Il2rg","Il13","interleukin 13","Il2rg","interleukin 2 receptor, gamma","DLRP","","","","","","IL13","IL2RG","8920992","known","literature supported"
"Il13_Il4ra","Il13","interleukin 13","Il4ra","interleukin 4 receptor","DLRP","HPMR","","HPRD","STRING.binding","STRING.experiment","IL13","IL4R","","known","literature supported"
"Il15_Il15ra","Il15","interleukin 15","Il15ra","interleukin 15 receptor, alpha","DLRP","HPMR","","HPRD","STRING.binding","STRING.experiment","IL15","IL15RA","","known","literature supported"
"Il15_Il2ra","Il15","interleukin 15","Il2ra","interleukin 2 receptor, alpha","","","","","STRING.binding","","IL15","IL2RA","8734356","novel","literature supported"
"Il15_Il2rb","Il15","interleukin 15","Il2rb","interleukin 2 receptor, beta","DLRP","HPMR","","HPRD","STRING.binding","STRING.experiment","IL15","IL2RB","","known","literature supported"
"Il15_Il2rg","Il15","interleukin 15","Il2rg","interleukin 2 receptor, gamma","DLRP","HPMR","","HPRD","","","IL15","IL2RG","","known","literature supported"
"Il16_Ccr5","Il16","interleukin 16","Ccr5","chemokine (C-C motif) receptor 5 (gene/pseudogene)","","","","","STRING.binding","","","CCR5","","novel","putative"
"Il16_Cd4","Il16","interleukin 16","Cd4","CD4 molecule","DLRP","","","HPRD","STRING.binding","STRING.experiment","","","","known","literature supported"
"Il16_Grin2c","Il16","interleukin 16","Grin2c","glutamate receptor, ionotropic, N-methyl D-aspartate 2C","","","","HPRD","","","","","","novel","literature supported"
